Feature
EXT_SOURCE_SUM_imp
EXT_SOURCE_3
EXT_SOURCE_2
EXT_SOURCE_1
DAYS_BIRTH
EXT_SOURCE_MULTI_imp
AMT_PAYMENT_min
AMT_CREDIT
DAYS_EMPLOYED
AMT_ANNUITY
NAME_CONTRACT_STATUS_Refused_mean.y
NAME_EDUCATION_TYPE
CNT_INSTALMENT_FUTURE_mean
AMT_PAYMENT_sum
DAYS_CREDIT_max
CODE_GENDER
CNT_DRAWINGS_ATM_CURRENT_mean
AMT_GOODS_PRICE
CNT_PAYMENT_mean
DAYS_ID_PUBLISH
DAYS_CREDIT_mean
AMT_CREDIT_SUM_DEBT_mean
OWN_CAR_AGE
DAYS_CREDIT_ENDDATE_max
SK_DPD_DEF_mean.y
AMT_ANNUITY_imp
AMT_DOWN_PAYMENT_sum
DAYS_REGISTRATION
AMT_GOODS_PRICE_imp
DAYS_ENTRY_PAYMENT_max
AMT_PAYMENT_mean
DAYS_ENDDATE_FACT_max
AMT_CREDIT_SUM_mean
ORGANIZATION_TYPE
AMT_CREDIT_MAX_OVERDUE_mean
AMT_CREDIT_SUM_max
AMT_CREDIT_SUM_sum
AMT_CREDIT_SUM_DEBT_sum
OCCUPATION_TYPE
DAYS_LAST_PHONE_CHANGE
CNT_DRAWINGS_CURRENT_mean
DAYS_LAST_DUE_1ST_VERSION_max
AMT_INSTALMENT_sum
NAME_INCOME_TYPE
AMT_ANNUITY_mean.y
FLAG_DOCUMENT_3
AMT_DOWN_PAYMENT_max
AMT_CREDIT_SUM_DEBT_max
NAME_YIELD_GROUP_high_mean
AMT_PAYMENT_max
DAYS_CREDIT_min
CODE_REJECT_REASON_XAP_mean
OCCUPATION_TYPE_imp
CREDIT_ACTIVE_Closed_mean
DAYS_CREDIT_UPDATE_mean
ORGANIZATION_TYPE_imp
REGION_RATING_CLIENT_W_CITY
AMT_INSTALMENT_max
AMT_CREDIT_MAX_OVERDUE_max
CREDIT_ACTIVE_Active_sum
NAME_CONTRACT_STATUS_Approved_mean
AMT_CREDIT_SUM_min
AMT_CREDIT_MAX_OVERDUE_sum
AMT_DOWN_PAYMENT_mean
CNT_PAYMENT_max
CNT_DRAWINGS_CURRENT_max
CREDIT_ACTIVE_Active_mean
REGION_POPULATION_RELATIVE
DAYS_CREDIT_sum
AMT_INSTALMENT_min
DAYS_CREDIT_UPDATE_max
AMT_DRAWINGS_ATM_CURRENT_mean
NAME_CONTRACT_TYPE
NAME_CONTRACT_STATUS_Active_sum.y
DAYS_CREDIT_ENDDATE_sum
DAYS_CREDIT_ENDDATE_mean
NAME_YIELD_GROUP_high_sum
AMT_INSTALMENT_mean
REGION_RATING_CLIENT
SK_DPD_mean.y
SK_DPD_DEF_max.y
HOUR_APPR_PROCESS_START_mean
NUM_INSTALMENT_NUMBER_max
CNT_INSTALMENT_mean
SK_DPD_DEF_sum.y
DAYS_INSTALMENT_max
AMT_ANNUITY_max.y
DAYS_LAST_DUE_1ST_VERSION_sum
AMT_ANNUITY_min.y
DAYS_ENDDATE_FACT_mean
DAYS_ENTRY_PAYMENT_min
NAME_YIELD_GROUP_low_action_mean
NAME_FAMILY_STATUS
RATE_DOWN_PAYMENT_sum
AMT_GOODS_PRICE_min
TOTALAREA_MODE
DAYS_DECISION_mean
DAYS_INSTALMENT_min
CNT_INSTALMENT_max
CREDIT_TYPE_Microloan_mean
