objective	booster	eval_metric	nthread	max_depth	eta	gamma	subsample	min_child_weight	colsample_bytree	colsample_bylevel	alpha	lambda	iter	train_auc_mean	train_auc_std	test_auc_mean	test_auc_std
binary:logistic	gbtree	auc	8	6	0.2	0	0.5	10	0.3	0.3	0	0.05	100	0.8305984	0.0011837301381922203	0.7755978	0.0018720084828934471
binary:logistic	gbtree	auc	8	7	0.2	0	0.5	10	0.3	0.3	0	0.05	78	0.8396572	7.492549365917271e-4	0.7738974000000001	0.00275806037641232
binary:logistic	gbtree	auc	8	8	0.2	0	0.5	10	0.3	0.3	0	0.05	58	0.8462636	0.001169198118382325	0.7722052	0.0026360708184576536
binary:logistic	gbtree	auc	8	5	0.3	0	0.5	10	0.3	0.3	0	0.05	71	0.8107784	9.894767506183559e-4	0.7727718	0.0031268478952392307
binary:logistic	gbtree	auc	8	6	0.3	0	0.5	10	0.3	0.3	0	0.05	55	0.8182043999999999	6.097417813931402e-4	0.7701462	0.002352429586607
binary:logistic	gbtree	auc	8	7	0.3	0	0.5	10	0.3	0.3	0	0.05	47	0.8290386000000001	6.363862348582149e-4	0.7681284	0.001971820742329769
binary:logistic	gbtree	auc	8	8	0.3	0	0.5	10	0.3	0.3	0	0.05	36	0.8352926	0.0010235338000922647	0.7640802	0.0011665675119738605
binary:logistic	gbtree	auc	8	5	0.1	0	0.7	10	0.3	0.3	0	0.05	473	0.8544664	5.387484014374776e-4	0.7854658	0.0018305271808951677
binary:logistic	gbtree	auc	8	6	0.1	0	0.7	10	0.3	0.3	0	0.05	289	0.8586184	6.310453548982718e-4	0.7846196	0.0023961728318411726
binary:logistic	gbtree	auc	8	7	0.1	0	0.7	10	0.3	0.3	0	0.05	203	0.8676636	6.7170070724315e-4	0.7840632	0.0017106444867366613
binary:logistic	gbtree	auc	8	8	0.1	0	0.7	10	0.3	0.3	0	0.05	191	0.891263	0.0015768526880882581	0.7813772	0.002758056881216315
binary:logistic	gbtree	auc	8	5	0.2	0	0.7	10	0.3	0.3	0	0.05	165	0.8345834	5.05324291948098e-4	0.7801566	0.002101938590936538
binary:logistic	gbtree	auc	8	8	0.1	0	0.7	10	0.7	0.5	0	0.05	124	0.8671382	0.0011748847433197085	0.7751692	0.0015963571530147951
binary:logistic	gbtree	auc	8	5	0.2	0	0.7	10	0.7	0.5	0	0.05	100	0.8159225999999999	4.168556585110871e-4	0.775301	0.002061546506860317
binary:logistic	gbtree	auc	8	6	0.2	0	0.7	10	0.7	0.5	0	0.05	76	0.8266274	0.0010964179130124943	0.7747153999999999	0.0024075648776440634
binary:logistic	gbtree	auc	8	7	0.2	0	0.7	10	0.7	0.5	0	0.05	56	0.8359482	7.830684261032402e-4	0.7716284	0.0020315301228483224
binary:logistic	gbtree	auc	8	8	0.2	0	0.7	10	0.7	0.5	0	0.05	42	0.8456482	0.0012629597618621338	0.7701036	0.001095161284901291
binary:logistic	gbtree	auc	8	5	0.3	0	0.7	10	0.7	0.5	0	0.05	59	0.8092506	7.511347681053963e-4	0.7726274	0.0019264287788923608
